id;Name;Title;Publication;Year;G_title;Comment;pub_year;pub_type;Meter;Regularity;Rhyme;Type;Music;Composer;Music_year;Source;Notation;Music_gtitle;Comment_m;;
104;Греков, Н.;Много в небе горит;БдЧ. 1840, т. 43.Стихотворения. С. 11-12;1840;Русская песня;;1840;periodical;Ан2м + Пс;reg;unrhymed;core;melody;Варламов, А.Е.;;Варламов, А.Е., М. Гессер;;;;;
105;Губер, Э.;На душе свободной;БдЧ. 1843, т. 58., № 5. С. 10;1843;Песня;;1843;periodical;Х3ж;reg;rhymed;core;;;;;;;;Дмитриев, Н.Д., М., Грессер. Дробиш Н.М., Юргенсон. 1875. Танеев, А.С. М., Циммерман;
106;Д. Чернецкий;Ах, ты девица, звезда ясная;БдЧ. 1841, С. 7-8. Стих. Т. 46.;1841;Русская песня;;1841;periodical;Пс2 + Пс;unreg (сбои, анапест.);unrhymed;core;;;;;;;;;
107;Давыдов, Д.В.;Я люблю тебя, без ума люблю;Стихотворения. Спб., 1840;1834;;на голос русской песни: Я люблю тебя, душа-девица;1840;collection;Пс2;reg;rhymed;periph;melody;Даргомыжский, А.С.;1856;Даргомыжский, А.С. (Моя милая), Спб., Стелловский;;;;;
108;Даргомыжская,  М.;Тошно грустно мне на свете жить одной;Славянин. 1827. Ч. 2. № 21. С. 295;1827;Песня, УД;;1827;periodical;Х6м;reg;rhymed;core;melody;Алябьев, А.А.;1833;Алябьев, А.А. Венцель, 1833;;;;;
109;Д-въ., А. (Д-въ);Не дари меня черным соболем;СО, 1840. т. 1. Стихотворения. С. 554-555;1840;Русская песня;;1840;periodical;Пс;unreg(перебои + стихи из двух пятисложников);unrhymed;core;;;;;;;;;
110;Дельвиг;Соловей мой соловей;Полярная звезда на 1824 г. С. 91. (Дельвиг, А.А. Сочинения. Л., 1986. С. 31);1825;Русская песня;;1823;periodical;Х4м;reg;occ;core;;;;;;;;;
111;Дельвиг;Пела пела пташечка;Северные цветы на 1825 год. Спб., 1824. С. 296. (Дельвиг, А.А. Сочинения. Л., 1986. С. 31);1824;Русская песня;;1824;periodical;Х32дж;reg;unrhymed;core;melody;Литандер, И.Г.;1832;Русская песня: Пела, пела пташечка. Слова Барона А.А. Дельвига // Музыкальный альбом на 1832 год...Спб., Стединг, 1831. С. 30-31;Для голоса с фортепиано;Русская песня;;;
112;Дельвиг;Что красотка молодая;Полярная звезда на 1824 год. Спб., 1823. С. 22. (Дельвиг, А.А. Сочинения. Л., 1986. С. 50-51);1823;Русская песня;;1823;periodical;Х43ж;reg;unrhymed;core;;;;;;;;;
113;Дельвиг;Ах ты ночь ли;Полярная звезда на 1823 год. Спб., 1822. С. 109. (Дельвиг, А.А. Сочинения. Л., 1986. С. 51-52);1821;Русская песня;;1822;periodical;Х21жд;reg;unrhymed;core;melody;Виельгорский, М.Ю.;1833;Ах ты ночь ли, ноченька. Русская песня. Рукопись. Автограф. ОР РГБ. Первая редакция – 1833: 48м. 17.22. Вторая редакция – 1834, марта 9: 48м. 17.19;Для тенора с инструментальным ансамблем;Русская песня;;;
114;Дельвиг;Голова ль моя головушка;Полярная звезда на 1824 год. Спб., 1823. С. 91. (Дельвиг, А.А. Сочинения. Л., 1986. С. 56-57);1823;Русская песня;;1823;periodical;Х4д;reg;unrhymed;core;;;;;;;;;
